raion,okrug
Poselenie Kievskij,Troitsky
Filevskij Park,Western
Poselenie Novofedorovskoe,Troitsky
Poselenie Rogovskoe,Troitsky
Poselenie Mosrentgen,Novomoskovsky
Poselenie Voronovskoe,Troitsky
Poselenie Mihajlovo-Jarcevskoe,Troitsky
Poselenie Marushkinskoe,Novomoskovsky
Poselenie Pervomajskoe,Troitsky
Matushkino,Zelenogradsky
Vnukovo,Western
Savelki,Zelenogradsky
Poselenie Vnukovskoe,Novomoskovsky
Silino,Zelenogradsky
Poselenie Kokoshkino,Novomoskovsky
Krjukovo,Zelenogradsky
Shhukino,North-Western
Poselenie Krasnopahorskoe,Troitsky
Nagatinskij Zaton,Southern
Staroe Krjukovo,Zelenogradsky
Poselenie Klenovskoe,Troitsky
Dmitrovskoe,Northern
Poselenie Filimonkovskoe,Novomoskovsky
Troickij okrug,Troitsky
Teplyj Stan,South-Western
Poselenie Shhapovskoe,Troitsky
Poselenie Moskovskij,Novomoskovsky
Poselenie Desjonovskoe,Novomoskovsky
Hovrino,Northern
Lomonosovskoe,South-Western
Mozhajskoe,Western
Novo-Peredelkino,Western
Strogino,North-Western
Molzhaninovskoe,Northern
Mitino,North-Western
Kurkino,North-Western
Krylatskoe,Western
Solncevo,Western
Poselenie Sosenskoe,Novomoskovsky
Poselenie Voskresenskoe,Novomoskovsky
Golovinskoe,Northern
Juzhnoe Tushino,North-Western
Severnoe Tushino,North-Western
Cheremushki,South-Western
Pokrovskoe Streshnevo,North-Western
Horoshevo-Mnevniki,North-Western
Ochakovo-Matveevskoe,Western
Troparevo-Nikulino,Western
Levoberezhnoe,Northern
Fili Davydkovo,Western
Obruchevskoe,South-Western
Poselenie Rjazanovskoe,Novomoskovsky
Ramenki,Western
Vojkovskoe,Northern
Sokol,Northern
Zapadnoe Degunino,Northern
Prospekt Vernadskogo,Western
Juzhnoe Butovo,South-Western
Jasenevo,South-Western
Dorogomilovo,Western
Kon'kovo,South-Western
Horoshevskoe,Northern
Begovoe,Northern
Koptevo,Northern
Poselenie Shherbinka,Novomoskovsky
Ajeroport,Northern
Presnenskoe,Central
Severnoe,North-Eastern
Beskudnikovskoe,Northern
Gagarinskoe,South-Western
Timirjazevskoe,Northern
Severnoe Butovo,South-Western
Lianozovo,North-Eastern
Hamovniki,Central
Vostochnoe Degunino,Northern
Savelovskoe,Northern
Akademicheskoe,South-Western
Zjuzino,South-Western
Altuf'evskoe,North-Eastern
Marfino,North-Eastern
Chertanovo Central'noe,Southern
Otradnoe,North-Eastern
Arbat,Central
Chertanovo Juzhnoe,Southern
Butyrskoe,North-Eastern
Tverskoe,Central
Chertanovo Severnoe,Southern
Jakimanka,Central
Kotlovka,South-Western
Ostankinskoe,North-Eastern
Donskoe,Southern
Bibirevo,North-Eastern
Birjulevo Zapadnoe,Southern
Mar'ina Roshha,North-Eastern
Nagornoe,Southern
Sviblovo,North-Eastern
Danilovskoe,Southern
Meshhanskoe,Central
Juzhnoe Medvedkovo,North-Eastern
Zamoskvorech'e,Central
Severnoe Medvedkovo,North-Eastern
Nagatino-Sadovniki,Southern
Moskvorech'e-Saburovo,Southern
Caricyno,Southern
Basmannoe,Central
Krasnosel'skoe,Central
Rostokino,North-Eastern
Taganskoe,Central
Alekseevskoe,North-Eastern
Sokol'niki,Eastern
Birjulevo Vostochnoe,Southern
Babushkinskoe,North-Eastern
Juzhnoportovoe,South-Eastern
Jaroslavskoe,North-Eastern
Pechatniki,South-Eastern
Bogorodskoe,Eastern
Metrogorodok,Eastern
Lefortovo,South-Eastern
Orehovo-Borisovo Severnoe,Southern
Losinoostrovskoe,North-Eastern
Nizhegorodskoe,South-Eastern
Perovo,Eastern
Orehovo-Borisovo Juzhnoe,Southern
Mar'ino,South-Eastern
Veshnjaki,Eastern
Preobrazhenskoe,Eastern
Sokolinaja Gora,Eastern
Ljublino,South-Eastern
Tekstil'shhiki,South-Eastern
Brateevo,Southern
Zjablikovo,Southern
Rjazanskij,South-Eastern
Izmajlovo,Eastern
Novogireevo,Eastern
Kuz'minki,South-Eastern
Gol'janovo,Eastern
Severnoe Izmajlovo,Eastern
Kapotnja,South-Eastern
Vyhino-Zhulebino,South-Eastern
Vostochnoe,Eastern
Vostochnoe Izmajlovo,Eastern
Ivanovskoe,Eastern
Kosino-Uhtomskoe,Eastern
Novokosino,Eastern
Nekrasovka,South-Eastern
Kuncevo,Western
