id,price_doc
30474,5208407
30475,7459795
30476,5367815
30477,5412548
30478,4422612
30479,8213223
30480,3862256
30481,3893250
30482,4265962
30483,4560495
30484,5425274
30485,4485651
30486,3501299
30487,3429765
30488,5877837
30489,5328370
30490,21242818
30491,19460250
30492,5101795
30493,14250127
30494,5966411
30495,10983578
30496,7663730
30497,7491288
30498,4089759
30499,7796903
30500,10251281
30501,6543086
30502,2919448
30503,6425337
30504,5691255
30505,10321470
30506,3122382
30507,4304587
30508,4606900
30509,7777704
30510,7895097
30511,6386749
30512,6318944
30513,3805694
30514,3310412
30515,8284361
30516,5458890
30517,10400701
30518,7275727
30519,4264735
30520,5922039
30521,5610716
30522,6677151
30523,6261381
30524,9972480
30525,9997006
30526,4386840
30527,4439531
30528,6062823
30529,6183484
30530,6183558
30531,13796006
30532,4334162
30533,10368194
30534,6083608
30535,8198546
30536,4965050
30537,11309430
30538,4501173
30539,9922829
30540,8236676
30541,6679781
30542,2207153
30543,5407064
30544,6515153
30545,8990300
30546,3712645
30547,8371761
30548,4081101
30549,4707240
30550,11267271
30551,4656734
30552,1991750
30553,7024273
30554,11598273
30555,5492793
30556,7820120
30557,7443269
30558,9003847
30559,5962211
30560,5222718
30561,6373337
30562,11052329
30563,4261684
30564,7293011
30565,6308506
30566,6461639
30567,2110462
30568,9997375
30569,10257355
30570,6580267
30571,6216674
30572,4408226
30573,5578579
30574,5879618
30575,7380890
30576,4702900
30577,3861979
30578,3213472
30579,6598806
30580,4637483
30581,4925373
30582,12273988
30583,6122478
30584,3913003
30585,2490807
30586,8059837
30587,5639816
30588,7347440
30589,7772638
30590,13015816
30591,4572683
30592,6151450
30593,7088228
30594,6808270
30595,5473901
30596,6212062
30597,5577786
30598,8101895
30599,9610631
30600,4657351
30601,5707550
30602,1853386
30603,10353048
30604,4147540
30605,5910503
30606,21792052
30607,6525526
30608,8206386
30609,5437806
30610,2653857
30611,4642903
30612,7352603
30613,7157995
30614,15092386
30615,6972906
30616,4994753
30617,9536985
30618,4575995
30619,3895415
30620,2583281
30621,8987627
30622,7726002
30623,6026662
30624,6286132
30625,7141348
30626,6034399
30627,6956006
30628,5556630
30629,4696010
30630,4327965
30631,5108800
30632,3841714
30633,5917252
30634,11244956
30635,8235767
30636,5002929
30637,8203578
30638,5702247
30639,7322731
30640,4170268
30641,6879685
30642,6022144
30643,8156963
30644,8101129
30645,6602906
30646,5023133
30647,4609524
30648,20088477
30649,2400241
30650,4615315
30651,3144378
30652,4113174
30653,6226431
30654,4053158
30655,12164754
30656,3331125
30657,5814169
30658,8878791
30659,4349805
30660,8214372
30661,5655716
30662,8354453
30663,18875503
30664,12871208
30665,5452359
30666,2600473
30667,3995392
30668,8120491
30669,3950932
30670,2278272
30671,7171625
30672,14081124
30673,9762661
30674,10380653
30675,2190385
30676,6348258
30677,4092126
30678,18997850
30679,5603358
30680,4775002
30681,2295352
30682,8412210
30683,8168332
30684,4777876
30685,5947724
30686,8277243
30687,4371626
30688,4104048
30689,15668352
30690,20833839
30691,4104372
30692,5824584
30693,11552025
30694,5324736
30695,6283020
30696,6809201
30697,11252539
30698,8165843
30699,5367934
30700,4448828
30701,8101353
30702,5896224
30703,3492214
30704,10456063
30705,9008287
30706,19800494
30707,3432251
30708,14080893
30709,4870755
30710,7457266
30711,4217958
30712,3670391
30713,5924588
30714,6963475
30715,3680781
30716,8158798
30717,6067994
30718,8428282
30719,12053273
30720,6780240
30721,3923911
30722,6755023
30723,5996170
30724,10473311
30725,6328366
30726,11976330
30727,8327832
30728,10299639
30729,3265000
30730,6019294
30731,5507963
30732,4298645
30733,10367083
30734,5847067
30735,5158542
30736,4633152
30737,6666933
30738,5869473
30739,4022218
30740,6260367
30741,10326624
30742,3742185
30743,4417040
30744,8998779
30745,6463835
30746,5294995
30747,15558200
30748,12796611
30749,4418998
30750,6000184
30751,3056849
30752,6500878
30753,8191530
30754,5413873
30755,4747335
30756,5727993
30757,5248979
30758,10036861
30759,6010495
30760,4705408
30761,9252092
30762,6224819
30763,10691041
30764,5382144
30765,5425574
30766,3519007
30767,10052906
30768,3999301
30769,7325854
30770,5448678
30771,2599407
30772,8069680
30773,6986255
30774,4724521
30775,13596127
30776,5787957
30777,5333116
30778,8649262
30779,6071720
30780,7141601
30781,5725320
30782,5066002
30783,4672308
30784,3431419
30785,4875175
30786,3794392
30787,5432940
30788,4938322
30789,7061400
30790,6618549
30791,8517084
30792,5989327
30793,10872931
30794,13284908
30795,10964130
30796,11987199
30797,12485993
30798,2561833
30799,10936630
30800,13440866
30801,5391494
30802,17871011
30803,2603382
30804,3335133
30805,14815135
30806,5870303
30807,5639920
30808,9532085
30809,4677504
30810,11166109
30811,4065078
30812,4984978
30813,4646291
30814,2461853
30815,3397968
30816,8121627
30817,1874527
30818,7750948
30819,6934611
30820,4878828
30821,25860836
30822,7923419
30823,6792584
30824,3094326
30825,4814932
30826,10371816
30827,4978810
30828,5233474
30829,5170802
30830,8352835
30831,5168150
30832,5798195
30833,4911947
30834,3796462
30835,8007322
30836,6057172
30837,4536095
30838,3780101
30839,5490949
30840,11542546
30841,10561320
30842,6960708
30843,4826780
30844,6127988
30845,9098933
30846,3811486
30847,5598178
30848,7404864
30849,4172320
30850,3320786
30851,4313026
30852,5947788
30853,3363904
30854,5767193
30855,6429193
30856,8507020
30857,2205293
30858,3879524
30859,5064747
30860,5554706
30861,7536129
30862,6077633
30863,4941231
30864,6071938
30865,8642244
30866,6978274
30867,5502217
30868,8757557
30869,5365524
30870,4438174
30871,8810670
30872,4213205
30873,3513317
30874,4601140
30875,6450839
30876,4475870
30877,10116506
30878,5212342
30879,8436628
30880,5442792
30881,1886092
30882,8838009
30883,2542967
30884,5302103
30885,4945293
30886,6368058
30887,5464748
30888,4053429
30889,4874656
30890,6926732
30891,3429135
30892,3552294
30893,3853871
30894,4943529
30895,3901114
30896,6127844
30897,7447210
30898,6434612
30899,5514184
30900,3143899
30901,6090413
30902,2012792
30903,7400749
30904,7647299
30905,5320361
30906,7202303
30907,12194274
30908,3829370
30909,11849349
30910,6700213
30911,4354768
30912,6675328
30913,21891317
30914,5353722
30915,8373378
30916,5283440
30917,9068988
30918,6279180
30919,4739245
30920,5081107
30921,3643515
30922,5589711
30923,2971163
30924,4766725
30925,14610731
30926,6394148
30927,7711399
30928,4057945
30929,4755104
30930,10598420
30931,9937895
30932,4349387
30933,3623982
30934,14073358
30935,6395717
30936,5914603
30937,7625358
30938,3294116
30939,8772633
30940,5877369
30941,6256925
30942,3299031
30943,6082855
30944,4718704
30945,3195013
30946,14057169
30947,5816643
30948,8094858
30949,5219303
30950,5883435
30951,13838502
30952,6857928
30953,10319795
30954,4236386
30955,6386693
30956,7047766
30957,5690122
30958,27358428
30959,8103675
30960,7583573
30961,8407501
30962,10970780
30963,3479810
30964,4222930
30965,6138035
30966,11429541
30967,11069127
30968,3140178
30969,2944211
30970,5475257
30971,10746702
30972,3167405
30973,4634419
30974,4423698
30975,7279837
30976,4712745
30977,5828160
30978,7046580
30979,3221612
30980,6679070
30981,5155698
30982,5810202
30983,3544010
30984,5314625
30985,3178502
30986,8175077
30987,9619595
30988,6024463
30989,7611768
30990,13358722
30991,9049122
30992,2487129
30993,7239820
30994,4217690
30995,6708145
30996,5300322
30997,5912198
30998,6600003
30999,7378781
31000,7832482
31001,5505260
31002,9316638
31003,8864417
31004,3871307
31005,2561019
31006,6800925
31007,4445535
31008,4918750
31009,6505558
31010,5917566
31011,3833111
31012,5287511
31013,6582547
31014,15381430
31015,7807345
31016,3791626
31017,8156046
31018,5108415
31019,4021321
31020,5874871
31021,10392334
31022,17214362
31023,8125913
31024,3799806
31025,5956312
31026,5932162
31027,4048813
31028,3625567
31029,7910781
31030,5932482
31031,8005556
31032,9332773
31033,7811474
31034,7194199
31035,8563703
31036,6009558
31037,25415249
31038,3826143
31039,8097935
31040,5385881
31041,3937485
31042,3198766
31043,5954277
31044,8629573
31045,6404107
31046,12652754
31047,7780540
31048,5759813
31049,1219598
31050,6874486
31051,5329024
31052,3449552
31053,15322615
31054,5431048
31055,5569427
31056,10539905
31057,5145899
31058,6525831
31059,2710320
31060,6079931
31061,5574723
31062,5281341
31063,3183192
31064,4424417
31065,9263921
31066,3857414
31067,8706418
31068,3617811
31069,4160811
31070,4080006
31071,3003575
31072,8285254
31073,1886092
31074,6253035
31075,6195542
31076,6552149
31077,5211591
31078,3781859
31079,4660863
31080,5711481
31081,2702530
31082,11562241
31083,4693807
31084,8147805
31085,11459082
31086,3404071
31087,4741235
31088,7784408
31089,6106067
31090,27411540
31091,2530267
31092,6052677
31093,5459011
31094,5848633
31095,4628685
31096,26404038
31097,10911667
31098,10429231
31099,16220235
31100,4611741
31101,3440192
31102,5866636
31103,11452120
31104,4981860
31105,8491756
31106,3923330
31107,10509193
31108,5993000
31109,5035429
31110,7835593
31111,10675083
31112,5477560
31113,3214228
31114,3965577
31115,5118802
31116,5920933
31117,5811735
31118,3542806
31119,2816887
31120,5050156
31121,5654034
31122,4940731
31123,4281876
31124,4995196
31125,10695141
31126,16693570
31127,4942961
31128,5639251
31129,5167730
31130,11704227
31131,7036695
31132,8598345
31133,10173647
31134,6000331
31135,9320118
31136,10421294
31137,4132022
31138,6657577
31139,3612649
31140,7682989
31141,7128359
31142,8179902
31143,4646630
31144,3455813
31145,5567698
31146,5135136
31147,13365673
31148,5337122
31149,2110879
31150,7362150
31151,4823702
31152,6768709
31153,4808486
31154,16355480
31155,6141142
31156,7626298
31157,3863180
31158,9226388
31159,5368051
31160,4894038
31161,2747376
31162,4192949
31163,5175935
31164,5310756
31165,5498274
31166,5271442
31167,7249898
31168,10863866
31169,8235012
31170,5351104
31171,11976011
31172,4880608
31173,10842279
31174,9462641
31175,17280927
31176,4251632
31177,7361360
31178,3918370
31179,4344147
